datetime,t2m,mer,mror,msmr,mtpr,sd,swvl1,sd_diff,mtpr_1days,mtpr_2days,mtpr_3days,mtpr_4days,mtpr_5days,mtpr_6days,mtpr_7days,msmr_1days,msmr_2days,msmr_3days,msmr_4days,msmr_5days,msmr_6days,msmr_7days
2020-03-30,278.5769,-1.4928956e-05,1.1260241e-05,1.8610017e-05,8.953514e-05,0.020452788,0.32796752,-0.00052676536,5.518783e-05,2.52066e-05,2.865079e-06,9.652043e-06,3.930122e-05,7.652467e-05,6.0899115e-06,1.5168458e-05,6.207272e-06,2.0731572e-06,2.0751406e-06,4.3441614e-06,7.6188635e-06,9.343776e-06
2020-03-31,278.36874,-1.5319594e-05,1.6204516e-05,2.363018e-05,0.00014897663,0.022511581,0.36586633,0.0,8.953514e-05,5.518783e-05,2.52066e-05,2.865079e-06,9.652043e-06,3.930122e-05,7.652467e-05,1.8610017e-05,1.5168458e-05,6.207272e-06,2.0731572e-06,2.0751406e-06,4.3441614e-06,7.6188635e-06
2020-04-01,274.5235,-1.5310523e-05,2.225069e-06,1.3937552e-06,1.0107711e-05,0.022757033,0.35431036,0.0,0.00014897663,8.953514e-05,5.518783e-05,2.52066e-05,2.865079e-06,9.652043e-06,3.930122e-05,2.363018e-05,1.8610017e-05,1.5168458e-05,6.207272e-06,2.0731572e-06,2.0751406e-06,4.3441614e-06
2020-04-02,273.70578,-1.5413965e-05,1.92862e-06,6.084967e-07,2.8725938e-06,0.02274498,0.33617002,-1.2053177e-05,1.0107711e-05,0.00014897663,8.953514e-05,5.518783e-05,2.52066e-05,2.865079e-06,9.652043e-06,1.3937552e-06,2.363018e-05,1.8610017e-05,1.5168458e-05,6.207272e-06,2.0731572e-06,2.0751406e-06
2020-04-03,274.6109,-1.4576468e-05,1.9451932e-06,8.689326e-07,2.8341552e-07,0.022510603,0.32303825,-0.00023437664,2.8725938e-06,1.0107711e-05,0.00014897663,8.953514e-05,5.518783e-05,2.52066e-05,2.865079e-06,6.084967e-07,1.3937552e-06,2.363018e-05,1.8610017e-05,1.5168458e-05,6.207272e-06,2.0731572e-06
2020-04-04,274.90634,-1.1376262e-05,4.414614e-06,8.04214e-06,7.269309e-05,0.023200119,0.31703323,0.0,2.8341552e-07,2.8725938e-06,1.0107711e-05,0.00014897663,8.953514e-05,5.518783e-05,2.52066e-05,8.689326e-07,6.084967e-07,1.3937552e-06,2.363018e-05,1.8610017e-05,1.5168458e-05,6.207272e-06
2020-04-05,276.6625,-1.6012813e-05,1.2076234e-05,2.9813269e-05,0.00011767459,0.025261039,0.3451268,0.0,7.269309e-05,2.8341552e-07,2.8725938e-06,1.0107711e-05,0.00014897663,8.953514e-05,5.518783e-05,8.04214e-06,8.689326e-07,6.084967e-07,1.3937552e-06,2.363018e-05,1.8610017e-05,1.5168458e-05
2020-04-06,275.86606,-1.5382495e-05,5.1611746e-06,1.6715227e-05,2.7510849e-05,0.024751507,0.35949308,-0.00050953217,0.00011767459,7.269309e-05,2.8341552e-07,2.8725938e-06,1.0107711e-05,0.00014897663,8.953514e-05,2.9813269e-05,8.04214e-06,8.689326e-07,6.084967e-07,1.3937552e-06,2.363018e-05,1.8610017e-05
2020-04-07,279.00458,-1.711247e-05,5.604162e-06,2.3177818e-05,3.993893e-06,0.023293488,0.35174808,-0.001458019,2.7510849e-05,0.00011767459,7.269309e-05,2.8341552e-07,2.8725938e-06,1.0107711e-05,0.00014897663,1.6715227e-05,2.9813269e-05,8.04214e-06,8.689326e-07,6.084967e-07,1.3937552e-06,2.363018e-05
2020-04-08,281.88602,-2.1589887e-05,5.4816437e-06,2.2646163e-05,1.1561698e-07,0.021181194,0.34026834,-0.0021122936,3.993893e-06,2.7510849e-05,0.00011767459,7.269309e-05,2.8341552e-07,2.8725938e-06,1.0107711e-05,2.3177818e-05,1.6715227e-05,2.9813269e-05,8.04214e-06,8.689326e-07,6.084967e-07,1.3937552e-06
2020-04-09,283.59708,-2.3888144e-05,5.523673e-06,2.0952168e-05,2.6541239e-08,0.019213015,0.32472506,-0.001968179,1.1561698e-07,3.993893e-06,2.7510849e-05,0.00011767459,7.269309e-05,2.8341552e-07,2.8725938e-06,2.2646163e-05,2.3177818e-05,1.6715227e-05,2.9813269e-05,8.04214e-06,8.689326e-07,6.084967e-07
2020-04-10,284.7457,-2.0074742e-05,5.7586976e-06,1.8623121e-05,3.497119e-07,0.017462267,0.30841947,-0.0017507486,2.6541239e-08,1.1561698e-07,3.993893e-06,2.7510849e-05,0.00011767459,7.269309e-05,2.8341552e-07,2.0952168e-05,2.2646163e-05,2.3177818e-05,1.6715227e-05,2.9813269e-05,8.04214e-06,8.689326e-07
2020-04-11,283.83994,-1.7616505e-05,5.819427e-06,1.6657687e-05,3.568504e-07,0.015869167,0.2959104,-0.0015930999,3.497119e-07,2.6541239e-08,1.1561698e-07,3.993893e-06,2.7510849e-05,0.00011767459,7.269309e-05,1.8623121e-05,2.0952168e-05,2.2646163e-05,2.3177818e-05,1.6715227e-05,2.9813269e-05,8.04214e-06
2020-04-12,281.95325,-1.9867128e-05,3.5053963e-06,6.564296e-06,1.1959742e-07,0.014684222,0.28537145,-0.001184945,3.568504e-07,3.497119e-07,2.6541239e-08,1.1561698e-07,3.993893e-06,2.7510849e-05,0.00011767459,1.6657687e-05,1.8623121e-05,2.0952168e-05,2.2646163e-05,2.3177818e-05,1.6715227e-05,2.9813269e-05
2020-04-13,280.42163,-1.9996247e-05,2.6925302e-06,3.2226258e-06,0.0,0.014149208,0.27574286,-0.0005350141,1.1959742e-07,3.568504e-07,3.497119e-07,2.6541239e-08,1.1561698e-07,3.993893e-06,2.7510849e-05,6.564296e-06,1.6657687e-05,1.8623121e-05,2.0952168e-05,2.2646163e-05,2.3177818e-05,1.6715227e-05
2020-04-14,281.07193,-1.9838108e-05,3.1289403e-06,5.361022e-06,0.0,0.013854987,0.2663657,-0.00029422063,0.0,1.1959742e-07,3.568504e-07,3.497119e-07,2.6541239e-08,1.1561698e-07,3.993893e-06,3.2226258e-06,6.564296e-06,1.6657687e-05,1.8623121e-05,2.0952168e-05,2.2646163e-05,2.3177818e-05
2020-04-15,283.0212,-1.5843973e-05,4.8792217e-06,1.1923629e-05,1.3261507e-08,0.01312135,0.2574213,-0.00073363725,0.0,0.0,1.1959742e-07,3.568504e-07,3.497119e-07,2.6541239e-08,1.1561698e-07,5.361022e-06,3.2226258e-06,6.564296e-06,1.6657687e-05,1.8623121e-05,2.0952168e-05,2.2646163e-05
